ANL,REG,12.2,1,12.2,13.6652,13.6652,27.5,8.845,0,0,,0,0,0,0,0,0,0,-1.47,1
ATLH,REG,1234,1,1234,1206.1647,1206.1647,25,925.5,0,0,,0,0,0,0,0,0,0,27.84,1
CNERGY,REG,7.12,1,7.12,12.1751,12.1751,27.5,5.162,0,0,,0,0,0,0,0,0,0,-5.06,1
KEL,REG,5.16,2,10.32,9.5249,19.0498,22.5,7.998,0,0,,0,0,0,0,0,0,0,-8.73,2
PSX,REG,32.64,1,32.64,33.852,33.852,22.5,25.296,0,0,,0,0,0,0,0,0,0,-1.21,1
SCBPL,REG,69.7,1,69.7,66.9316,66.9316,17.5,57.5025,0,0,,0,0,0,0,0,0,0,2.77,1
WTL,REG,1.42,21,29.82,2.228,46.788,27.5,21.6195,0,0,,0,0,0,0,0,0,0,-16.97,21
