"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.5, yesterday high=425.64, time=2025-08-12 09:32:33.662252+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.15, yesterday high=25.7, time=2025-08-12 09:32:34.295070+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.2, yesterday high=425.64, time=2025-08-12 09:32:34.674317+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.8, yesterday high=425.64, time=2025-08-12 09:32:35.652556+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.0, yesterday high=425.64, time=2025-08-12 09:32:36.651703+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.15, yesterday high=25.7, time=2025-08-12 09:32:37.308091+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:37.662954+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:38.658267+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:39.714707+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:32:40.166720+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:40.650221+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:32:41.168417+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:41.661900+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:32:42.648801+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.15, yesterday high=25.7, time=2025-08-12 09:32:43.249979+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.99, yesterday high=425.64, time=2025-08-12 09:32:43.659389+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.99, yesterday high=425.64, time=2025-08-12 09:32:44.674294+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.15, yesterday high=25.7, time=2025-08-12 09:32:45.446824+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.99, yesterday high=425.64, time=2025-08-12 09:32:45.657573+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:32:46.161670+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.99, yesterday high=425.64, time=2025-08-12 09:32:46.847511+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.2, yesterday high=25.7, time=2025-08-12 09:32:47.249198+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.99, yesterday high=425.64, time=2025-08-12 09:32:47.649352+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.99, yesterday high=425.64, time=2025-08-12 09:32:48.653489+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:32:50.165996+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.2, yesterday high=25.7, time=2025-08-12 09:32:50.250546+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.99, yesterday high=425.64, time=2025-08-12 09:32:50.933398+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.89, yesterday high=425.64, time=2025-08-12 09:32:51.648534+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.89, yesterday high=425.64, time=2025-08-12 09:32:52.654865+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.45, yesterday high=25.7, time=2025-08-12 09:32:53.258853+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.89, yesterday high=425.64, time=2025-08-12 09:32:54.660788+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.98, yesterday high=425.64, time=2025-08-12 09:32:55.649234+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.45, yesterday high=25.7, time=2025-08-12 09:32:56.434544+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.98, yesterday high=425.64, time=2025-08-12 09:32:56.648169+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.98, yesterday high=425.64, time=2025-08-12 09:32:57.757975+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.45, yesterday high=25.7, time=2025-08-12 09:32:58.261139+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.98, yesterday high=425.64, time=2025-08-12 09:32:58.654624+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.89, yesterday high=425.64, time=2025-08-12 09:32:59.657510+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.45, yesterday high=25.7, time=2025-08-12 09:33:00.262117+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.98, yesterday high=425.64, time=2025-08-12 09:33:00.663092+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.45, yesterday high=25.7, time=2025-08-12 09:33:01.258776+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=425.89, yesterday high=425.64, time=2025-08-12 09:33:01.656732+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.45, yesterday high=25.7, time=2025-08-12 09:33:02.263473+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.0, yesterday high=425.64, time=2025-08-12 09:33:02.659222+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:33:03.314120+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.45, yesterday high=25.7, time=2025-08-12 09:33:03.338725+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.37, yesterday high=425.64, time=2025-08-12 09:33:03.656469+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.37, yesterday high=425.64, time=2025-08-12 09:33:04.741311+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.45, yesterday high=25.7, time=2025-08-12 09:33:05.265981+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.37, yesterday high=425.64, time=2025-08-12 09:33:05.661896+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:33:06.163364+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.45, yesterday high=25.7, time=2025-08-12 09:33:06.253556+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.37, yesterday high=425.64, time=2025-08-12 09:33:06.656945+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.49, yesterday high=425.64, time=2025-08-12 09:33:07.656969+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.45, yesterday high=25.7, time=2025-08-12 09:33:08.248119+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.49, yesterday high=425.64, time=2025-08-12 09:33:08.694482+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.37, yesterday high=425.64, time=2025-08-12 09:33:09.659311+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.49, yesterday high=425.64, time=2025-08-12 09:33:10.660451+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.45, yesterday high=25.7, time=2025-08-12 09:33:11.267596+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.37, yesterday high=425.64, time=2025-08-12 09:33:11.657459+05:00"
"\u274c Conditions not met for FCL: RSI=0.0, SMA=0.0, Close=25.45, yesterday high=25.7, time=2025-08-12 09:33:12.246293+05:00"
"\u274c Conditions not met for PSO: RSI=0.0, SMA=0.0, Close=426.4, yesterday high=425.64, time=2025-08-12 09:33:12.653737+05:00"
"\u274c Conditions not met for BAFL: RSI=0.0, SMA=0.0, Close=89.3, yesterday high=90.64, time=2025-08-12 09:33:13.164703+05:00"
"\u274c Conditions not met for BAFL: RSI=53.4, SMA=78.35, Close=89.9, yesterday high=90.64, time=2025-08-12 09:33:17.165761+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.45, yesterday high=25.7, time=2025-08-12 09:33:20.254843+05:00"
{"symbol": "PSO", "signal": "BUY", "price": 426.4, "timestamp": "2025-08-12 09:33:19.713720+05:00", "reason": {"rsi_today": 68.38, "rsi_yesterday": 69.57, "close_gt_sma": true, "price_gt_prev_high": true}}
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.5, yesterday high=692.0, time=2025-08-12 09:33:18.163795+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.45, yesterday high=25.7, time=2025-08-12 09:33:21.254164+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.5, yesterday high=692.0, time=2025-08-12 09:33:22.168456+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.2, yesterday high=25.7, time=2025-08-12 09:33:22.253876+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.5, yesterday high=692.0, time=2025-08-12 09:33:24.162508+05:00"
"\u274c Conditions not met for BAFL: RSI=53.4, SMA=78.35, Close=89.9, yesterday high=90.64, time=2025-08-12 09:33:24.165213+05:00"
"\u274c Conditions not met for FCL: RSI=57.14, SMA=24.22, Close=25.2, yesterday high=25.7, time=2025-08-12 09:33:24.265065+05:00"
"\u274c Conditions not met for ATRL: RSI=52.96, SMA=612.97, Close=672.0, yesterday high=692.0, time=2025-08-12 09:33:25.219478+05:00"
"\u274c Conditions not met for BAFL: RSI=53.4, SMA=78.35, Close=89.9, yesterday high=90.64, time=2025-08-12 09:33:25.220850+05:00"
