"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=663.0, yesterday high=673.97, time=2025-08-13 09:34:00.172570+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:34:00.176017+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:34:01.170679+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=663.0, yesterday high=673.97, time=2025-08-13 09:34:02.169191+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.99, yesterday high=673.97, time=2025-08-13 09:34:03.623842+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.99, yesterday high=673.97, time=2025-08-13 09:34:04.169291+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:34:04.171236+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:34:04.262920+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:34:05.264754+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.99, yesterday high=673.97, time=2025-08-13 09:34:06.169308+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:34:06.275407+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.99, yesterday high=673.97, time=2025-08-13 09:34:09.169438+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.99, yesterday high=673.97, time=2025-08-13 09:34:13.169128+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.99, yesterday high=673.97, time=2025-08-13 09:34:14.210060+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:34:15.262659+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.5, yesterday high=673.97, time=2025-08-13 09:34:16.171196+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:34:16.172766+05:00"
