"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:21:56.228513+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.25, yesterday high=429.0, time=2025-08-11 13:21:56.634889+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.25, yesterday high=429.0, time=2025-08-11 13:21:59.626853+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.0, yesterday high=690.02, time=2025-08-11 13:22:00.144339+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.0, yesterday high=690.02, time=2025-08-11 13:22:03.145050+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.25, yesterday high=429.0, time=2025-08-11 13:22:03.631153+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=89.99, yesterday high=89.9, time=2025-08-11 13:22:04.194737+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.49, yesterday high=429.0, time=2025-08-11 13:22:07.636534+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.48, yesterday high=429.0, time=2025-08-11 13:22:08.633095+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.0, yesterday high=690.02, time=2025-08-11 13:22:09.145200+05:00"
"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:22:10.239479+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=89.99, yesterday high=89.9, time=2025-08-11 13:22:11.151205+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.35, yesterday high=690.02, time=2025-08-11 13:22:14.144818+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.25, yesterday high=429.0, time=2025-08-11 13:22:14.634270+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.35, yesterday high=690.02, time=2025-08-11 13:22:15.244081+05:00"
"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:22:15.287067+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.35, yesterday high=690.02, time=2025-08-11 13:22:18.595701+05:00"
"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:22:18.605454+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.35, yesterday high=690.02, time=2025-08-11 13:22:18.647730+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=89.99, yesterday high=89.9, time=2025-08-11 13:22:18.649925+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.25, yesterday high=429.0, time=2025-08-11 13:22:19.634420+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.25, yesterday high=429.0, time=2025-08-11 13:22:21.634096+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.25, yesterday high=429.0, time=2025-08-11 13:22:24.649715+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.25, yesterday high=429.0, time=2025-08-11 13:22:26.642262+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:22:28.146984+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.4, yesterday high=429.0, time=2025-08-11 13:22:28.642575+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.4, yesterday high=429.0, time=2025-08-11 13:22:29.856993+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.35, yesterday high=690.02, time=2025-08-11 13:22:31.147551+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:22:32.145928+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.49, yesterday high=429.0, time=2025-08-11 13:22:32.628505+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:22:33.149088+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.35, yesterday high=690.02, time=2025-08-11 13:22:35.153119+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.35, yesterday high=690.02, time=2025-08-11 13:22:36.145567+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.35, yesterday high=690.02, time=2025-08-11 13:22:37.179966+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.49, yesterday high=429.0, time=2025-08-11 13:22:38.626412+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:22:41.148303+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.02, yesterday high=690.02, time=2025-08-11 13:22:42.144925+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.02, yesterday high=690.02, time=2025-08-11 13:22:43.266870+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.02, yesterday high=690.02, time=2025-08-11 13:22:45.145693+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.02, yesterday high=690.02, time=2025-08-11 13:22:49.146966+05:00"
"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:22:50.228866+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.02, yesterday high=690.02, time=2025-08-11 13:22:55.144569+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.49, yesterday high=429.0, time=2025-08-11 13:22:55.624950+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.02, yesterday high=690.02, time=2025-08-11 13:22:56.147954+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.49, yesterday high=429.0, time=2025-08-11 13:22:59.635819+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.49, yesterday high=429.0, time=2025-08-11 13:23:00.624380+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.49, yesterday high=429.0, time=2025-08-11 13:23:01.642423+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:23:02.158664+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.49, yesterday high=429.0, time=2025-08-11 13:23:03.654883+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.49, yesterday high=429.0, time=2025-08-11 13:23:04.734399+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.49, yesterday high=429.0, time=2025-08-11 13:23:05.625577+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:23:06.149792+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.0, yesterday high=690.02, time=2025-08-11 13:23:08.146866+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:23:08.149341+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:23:11.145342+05:00"
"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:23:15.234449+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:16.625740+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:23:18.146673+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:19.632699+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.0, yesterday high=690.02, time=2025-08-11 13:23:20.148562+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.0, yesterday high=690.02, time=2025-08-11 13:23:21.150373+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:23:21.154718+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:22.664792+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:23:23.153920+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:23.631491+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:23:24.146114+05:00"
"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:23:24.225253+05:00"
"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.35, yesterday high=25.34, time=2025-08-11 13:23:25.227831+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:26.634790+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:27.654617+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.0, yesterday high=690.02, time=2025-08-11 13:23:31.145197+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:31.626243+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:32.629716+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.0, yesterday high=690.02, time=2025-08-11 13:23:33.151530+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:33.632115+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.0, yesterday high=690.02, time=2025-08-11 13:23:35.146684+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:36.638602+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:23:37.636497+05:00"
