record_identifier,symbol_code,market_code,symbol_state,symbol_flag,bid_volume,bid_price,ask_price,ask_volume,last_trade_price,last_trade_volume,last_trade_time,last_day_close_price,symbol_direction,average_price,high_price,low_price,net_change,total_traded_volume,total_trades,open_price,timestamp
FEED,ICCI,REG,E0,"",0,0,0,0,11.3,4948,,11.95,,294392.6,11.98,11.25,-0.65,25732,20,11.42,2025-01-15 15:50:04
FEED,ICIBL,REG,E0,"",0,0,0,0,1.5,58718,,1.5,,429489.38,1.55,1.46,0.0,287465,96,1.55,2025-01-15 15:50:04
FEED,ICL,REG,E0,"",0,0,0,0,71.41,200,,72.0,,3764845.84,74.25,71.0,-0.59,51742,80,73.95,2025-01-15 15:50:04
FEED,IDRT,REG,E0,"",0,0,0,0,14.8,81,,14.99,,29412.41,16.37,13.49,-0.19,1975,22,15.72,2025-01-15 15:50:04
FEED,IDSM,REG,E0,"",0,0,0,0,11.3,0,,11.3,,0.0,,,,0,0,,2025-01-15 15:50:04
FEED,IDYM,REG,E0,"",0,0,0,0,123.06,20,,122.5,,83547.85,129.98,119.22,0.56,679,16,129.98,2025-01-15 15:50:04
FEED,IGIHL,REG,E0,"",0,0,0,0,176.47,2000,,174.51,,1527730.86,178.5,174.0,1.96,8676,58,178.5,2025-01-15 15:50:04
FEED,IGIL,REG,E0,"",0,0,0,0,14.19,100,,14.13,,459381.12,14.4,14.0,0.06,32800,15,14.4,2025-01-15 15:50:04
FEED,ILP,REG,E0,"",0,0,0,0,65.82,92,,66.59,,58514113.76,67.5,65.5,-0.77,880212,1082,66.62,2025-01-15 15:50:04
FEED,IMAGE,REG,E0,"",0,0,0,0,21.42,500,,21.46,,99604385.96,23.0,21.29,-0.04,4530251,1427,21.46,2025-01-15 15:50:04
FEED,IMAGER2,REG,PRE,"",0,0,0,0,0.96,0,,0.96,,0,,,,0,0,,2025-01-15 09:30:08
FEED,IML,REG,E0,"",0,0,0,0,19.61,15,,20.0,,60623.3,21.0,19.61,-0.39,3036,7,21.0,2025-01-15 15:50:04
FEED,IMS,REG,E0,"",0,0,0,0,64.91,200,,63.0,,586316.56,67.0,62.5,1.91,9203,21,67.0,2025-01-15 15:50:04
FEED,INDU,REG,E0,"",0,0,0,0,2013.77,10,,2054.96,,6598810.92,2089.0,1950.0,-41.19,3268,284,2089.0,2025-01-15 15:50:04
FEED,INIL,REG,E0,"",0,0,0,0,175.02,3,,174.33,,48730947.46,178.88,173.5,0.69,277091,480,174.33,2025-01-15 15:50:04
FEED,INKL,REG,E0,"",0,0,0,0,15.99,50,,15.99,,1625.0,16.5,16.0,0.0,100,2,16.0,2025-01-15 15:50:04
FEED,INMF,REG,E1,"",0,0,0,0,0.17,0,,0.17,,0.0,,,,0,0,,2025-01-15 15:50:04
FEED,IPAK,REG,E0,"",0,0,0,0,22.35,3960,,22.39,,1980355.43,22.75,22.26,-0.04,88321,42,22.74,2025-01-15 15:50:04
FEED,ISIL,REG,E0,"",0,0,0,0,1945.4,1,,1900.0,,763178.98,1950.0,1900.0,45.4,401,12,1950.0,2025-01-15 15:50:04
FEED,ISL,REG,E0,"",0,0,0,0,98.37,25,,97.97,,182821799.82,101.0,97.25,0.4,1843576,1465,98.99,2025-01-15 15:50:04
FEED,ITTEFAQ,REG,E0,"",0,0,0,0,8.78,180,,8.71,,31538674.97,9.25,8.65,0.07,3534818,1398,9.0,2025-01-15 15:50:04
FEED,JATM,REG,E0,"",0,0,0,0,34.08,150,,36.35,,395391.8,37.85,33.0,-2.27,11390,68,35.26,2025-01-15 15:50:04
FEED,JDMT,REG,E0,"",0,0,0,0,63.26,2000,,64.23,,259421.79,65.79,63.0,-0.97,4101,7,65.79,2025-01-15 15:50:04
FEED,JDWS,REG,E0,"",0,0,0,0,915.66,17,,890.13,,1782485.61,947.98,825.0,25.53,1965,145,825.0,2025-01-15 15:50:04
FEED,JGICL,REG,E0,"",0,0,0,0,56.29,2000,,56.01,,4384442.48,57.19,56.0,0.28,77737,79,56.65,2025-01-15 15:50:04
FEED,JKSM,REG,E0,"",0,0,0,0,61.25,100,,61.25,,6000.0,,,,100,1,,2025-01-15 15:50:04
FEED,JLICL,REG,E0,"",0,0,0,0,175.5,1,,175.5,,19911.99,176.99,174.0,0.0,114,10,176.99,2025-01-15 15:50:04
FEED,JOPP,REG,PRE,"",0,0,0,0,160.06,0,,160.06,,0,,,,0,0,,2025-01-15 09:30:31
FEED,JSBL,REG,E0,"",0,0,0,0,11.19,20000,,11.34,,19665175.92,11.55,11.02,-0.15,1728974,322,11.02,2025-01-15 15:50:04
FEED,JSCL,REG,E0,"",0,0,0,0,19.52,100000,,19.32,,42501347.18,20.25,19.42,0.2,2142829,659,19.7,2025-01-15 15:50:05
FEED,JSCLPSA,REG,E0,"",0,0,0,0,8.5,5,,8.5,,4519.16,8.94,8.92,0.0,505,4,8.93,2025-01-15 15:50:05
FEED,JSGBETF,REG,E0,"",0,0,0,0,22.59,500,,22.5,,427360.0,22.59,22.48,0.09,19000,6,22.48,2025-01-15 15:50:05
FEED,JSGCL,REG,E0,"",0,0,0,0,126.0,100,,126.21,,61841.6,126.0,124.0,-0.21,493,7,124.51,2025-01-15 15:50:05
FEED,JSIL,REG,E0,"",0,0,0,0,24.05,2000,,23.78,,473164.37,24.75,22.3,0.27,20228,46,22.55,2025-01-15 15:50:05
FEED,JSMFETF,REG,E0,"",0,0,0,0,14.22,500,,14.29,,7447510.0,14.5,14.1,-0.07,520000,139,14.34,2025-01-15 15:50:05
FEED,JSML,REG,E0,"",0,0,0,0,18.5,27,,18.7,,724697.9,19.0,18.0,-0.2,39366,48,19.0,2025-01-15 15:50:05
FEED,JUBS,REG,E0,"",0,0,0,0,11.9,0,,11.9,,0.0,,,,0,0,,2025-01-15 15:50:05
FEED,JVDC,REG,E0,"",0,0,0,0,65.01,200,,64.93,,5510108.81,66.16,64.99,0.08,84548,248,65.5,2025-01-15 15:50:05
FEED,JVDCPS,REG,E0,"",0,0,0,0,19.0,0,,19.0,,0.0,,,,0,0,,2025-01-15 15:50:05
FEED,KAKL,REG,E1,"",0,0,0,0,0.55,0,,0.55,,0.0,,,,0,0,,2025-01-15 15:50:05
FEED,KAPCO,REG,E0,"",0,0,0,0,36.48,200,,36.85,,33714208.53,37.47,36.35,-0.37,916516,938,37.0,2025-01-15 15:50:05
FEED,KCL,REG,E0,"",0,0,0,0,59.5,2,,59.5,,195.4,65.4,65.0,0.0,3,2,65.4,2025-01-15 15:50:05
FEED,KEL,REG,E0,"",0,0,0,0,4.91,760,,5.0,,100305696.88,5.1,4.9,-0.09,20043975,2041,5.1,2025-01-15 15:50:05
FEED,KHTC,REG,E0,"",0,0,0,0,275.0,150,,265.37,,4206897.35,282.0,265.75,9.63,15262,95,265.76,2025-01-15 15:50:05
FEED,KHYT,REG,E0,"",0,0,0,0,547.79,3,,547.79,,1640.97,546.99,546.99,0.0,3,1,546.99,2025-01-15 15:50:05
FEED,KML,REG,E0,"",0,0,0,0,34.95,100,,35.09,,79474.87,34.99,32.21,-0.14,2323,17,33.0,2025-01-15 15:50:05
FEED,KOHC,REG,E0,"",0,0,0,0,371.18,500,,365.8,,61229419.59,398.0,361.4,5.38,160859,727,361.4,2025-01-15 15:50:05
FEED,KOHE,REG,E0,"",0,0,0,0,26.34,200,,26.0,,3764279.84,26.53,26.06,0.34,142762,99,26.23,2025-01-15 15:50:05
FEED,KOHP,REG,E0,"",0,0,0,0,6.94,5,,6.77,,1012632.33,7.06,6.62,0.17,146251,77,6.92,2025-01-15 15:50:05
FEED,KOHTM,REG,E0,"",0,0,0,0,33.27,7,,34.99,,18664.56,34.0,32.2,-1.72,561,14,32.2,2025-01-15 15:50:05
FEED,KOIL,REG,E0,"",0,0,0,0,8.9,500,,8.74,,16967.21,9.0,8.3,0.16,1913,15,8.3,2025-01-15 15:50:05
FEED,KOSM,REG,E0,"",0,0,0,0,6.81,4000,,7.03,,55154830.17,7.25,6.63,-0.22,7944106,3066,7.05,2025-01-15 15:50:05
FEED,KPUS,REG,E0,"",0,0,0,0,128.42,500,,131.33,,2540621.13,138.8,120.0,-2.91,20799,110,129.99,2025-01-15 15:50:05
FEED,KSBP,REG,E0,"",0,0,0,0,155.1,5000,,153.51,,27840711.84,156.9,152.0,1.59,180669,234,152.6,2025-01-15 15:50:05
FEED,KSBPR,REG,PRE,"",0,0,0,0,3.02,0,,3.02,,0,,,,0,0,,2025-01-15 09:30:52
FEED,KSTM,REG,E0,"",0,0,0,0,8.0,5,,7.94,,32181.24,8.14,7.63,0.06,4099,31,7.76,2025-01-15 15:50:05
FEED,KTML,REG,E0,"",0,0,0,0,113.85,100,,116.76,,1353528.1,119.95,112.0,-2.91,11803,23,119.95,2025-01-15 15:50:05
FEED,LCI,REG,E0,"",0,0,0,0,1135.24,4888,,1138.79,,24115344.82,1145.0,1110.0,-3.55,21247,106,1125.01,2025-01-15 15:50:05
FEED,LEUL,REG,E0,"",0,0,0,0,24.0,100,,24.0,,2648.0,26.0,25.96,0.0,102,2,26.0,2025-01-15 15:50:05
FEED,LIVEN,REG,E0,"",0,0,0,0,172.7,2,,174.98,,19415663.19,192.48,157.48,-2.28,111398,927,192.48,2025-01-15 15:50:05
FEED,LMSM,REG,PRE,"",0,0,0,0,63.91,200,,63.91,,63.91,63.91,63.91,5.81,14024,32,63.91,2025-01-15 09:30:34
FEED,LOADS,REG,E0,"",0,0,0,0,14.97,100,,14.74,,11150691.06,15.35,14.7,0.23,737214,387,14.9,2025-01-15 15:50:05
